GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,关键词
22.65478844,114.08073,0,0,0,0,坂田雪象村总站
22.65335864,114.0702012,22.65067554,114.0753242,22.656439,114.081868,雪象新村
22.66099764,114.0658022,22.65831454,114.0709252,22.664078,114.077469,坂田街道二办
22.66132697,114.0609898,22.65862407,114.0661021,22.664303,114.072666,岗头村委
22.66306559,114.0580811,22.66036783,114.0631988,22.666045,114.069764,岗头市场
22.66311259,114.0564341,22.66041483,114.0615518,22.666092,114.068117,岗头市场南
22.65993397,114.0558728,22.65723107,114.0609851,22.66291,114.067549,坂田华城百货
22.6570964,114.06103,0,0,0,0,华为基地
22.65351897,114.0602038,22.65081607,114.0653161,22.656495,114.07188,华为单身公寓北
22.65037912,114.0623526,22.64767602,114.0674649,22.653353,114.074027,万科城实验学校
22.6467025,114.06914,0,0,0,0,万科城
22.64345312,114.0628996,22.64075002,114.0680119,22.646427,114.074574,中海日辉台
22.6389575,114.0614365,22.6362542,114.0665488,22.64193,114.073114,坂田路口西
22.6376945,114.0581015,22.6349912,114.0632138,22.640667,114.069779,坂田市场
22.63378157,114.05944,0,0,0,0,里石排
22.63901531,114.050336,22.63629221,114.0554322,22.641968,114.062001,利金城工业园
22.63921368,114.0429562,22.63646583,114.0480363,22.642232,114.054587,水斗新村
22.64074268,114.0401832,22.63799483,114.0452633,22.643761,114.051814,上油松村
22.64255759,114.0351727,22.63980993,114.0402528,22.645577,114.0468,牛栏前市场
22.64073263,114.0329217,22.63795507,114.0379803,22.643879,114.044502,万众城
22.63610563,114.0308697,22.63332807,114.0359283,22.639252,114.04245,牛栏前
22.62950096,114.0339829,22.62674795,114.039063,22.632519,114.045621,沙吓
22.62246567,114.037,0,0,0,0,东边
22.62226296,114.0360049,22.61950995,114.041085,22.625281,114.047643,沙元埔
22.61855258,114.0366104,22.61579937,114.0416905,22.621571,114.048258,民康路口
22.61421508,114.043912,0,0,0,0,横岭二区
22.60920198,114.045575,0,0,0,0,横岭
22.60368935,114.0412336,22.60093594,114.0463137,22.606708,114.05289,惠鑫公寓
22.59722914,114.0434372,22.59449534,114.0485334,22.600182,114.055133,民乐地铁站
22.57012432,114.0595155,22.56740974,114.0646224,22.573091,114.071211,凯丰花园
22.71640114,114.2377327,22.71357571,114.2425768,22.719911,114.249032,万科大厦
22.57152209,114.0514261,22.5687877,114.0565223,22.574469,114.063109,中康公园
22.57073209,114.0490351,22.5679977,114.0541313,22.573679,114.060718,梅林阁
22.57059009,114.0477411,22.5678557,114.0528373,22.573537,114.059424,梅林三村
22.56713943,114.0400393,22.56438027,114.045114,22.570152,114.051688,梅林二村
22.56934437,114.0324207,22.56656044,114.037474,22.572485,114.044019,梅林一村
22.56562037,114.0309307,22.56283644,114.035984,22.568761,114.042529,福田农批市场
22.56226137,114.0332237,22.55947744,114.038277,22.565402,114.044822,广中医深圳医院
22.56081844,114.0243914,22.55802936,114.0294447,22.563956,114.035979,北环香梅北天桥
22.56042765,114.017195,22.55761379,114.0222268,22.563715,114.028725,北环香蜜立交
22.55928036,114.0108799,22.55643677,114.0158849,22.562692,114.022355,北环香蜜立交西
22.55573636,114.0085869,22.55289277,114.0135919,22.559148,114.020062,侨香村
22.56164725,113.9797115,22.55871449,113.9846414,22.564969,113.991112,桃源村东
22.56084125,113.9755265,22.55790849,113.9804564,22.564163,113.986927,桃源村
22.56866102,113.96827,22.56570371,113.9731784,22.571804,113.979689,鼎胜山邻
22.57185158,113.963024,22.5688695,113.9679163,22.574792,113.974458,新屋村
22.56997058,113.955055,22.5669885,113.9599473,22.572911,113.966489,龙辉花园
22.57698142,113.9494387,22.57397974,113.954315,22.579749,113.960895,茶光
22.56306914,113.9495435,22.56006724,113.9544198,22.565834,113.960991,松坪学校小学部
22.56007596,113.9467762,22.55707385,113.9516524,22.562838,113.958213,松坪村
22.55872696,113.9455802,22.55572485,113.9504564,22.561489,113.957017,朗山路中
22.56003032,113.9424749,22.55700839,113.9473404,22.562686,113.953916,孙逸仙心血管医院
22.55657232,113.9405369,22.55355039,113.9454024,22.559228,113.951978,科苑北环立交
22.55359632,113.9404159,22.55057439,113.9452814,22.556252,113.951857,科苑立交南
22.55009697,113.940535,22.54707483,113.9454005,22.55275,113.951966,科苑北
22.54617234,113.9539137,22.54318983,113.9588061,22.549107,113.965327,科发路
22.54541962,113.9448773,22.54241233,113.9497535,22.548179,113.956304,深南科技立交北
22.54218262,113.9460398,22.53917512,113.9509161,22.54494,113.95746,创维大厦
22.54099262,113.9441428,22.53798512,113.9490191,22.54375,113.955563,中兴通讯
22.53647897,113.9389185,22.5334566,113.943784,22.53913,113.950343,深港产学研基地
22.53560497,113.9414025,22.5325826,113.946268,22.538256,113.952827,白石科苑路口
22.53706362,113.9462768,22.53405612,113.9511531,22.539821,113.957697,高新公寓
22.53882162,113.9468788,22.53581412,113.9517551,22.541579,113.958299,科技园公交总站
22.53351862,113.9451188,22.53051112,113.9499951,22.536276,113.956539,科技南路
22.53475197,113.9367045,22.5317296,113.94157,22.537403,113.948129,粤海门村
22.54593497,113.940588,22.54291283,113.9454535,22.548588,113.952019,深南科苑立交北
22.56129244,114.0326924,22.55850336,114.0377457,22.56443,114.04428,深圳石油大厦
22.56584043,114.0375803,22.56308127,114.042655,22.568853,114.049229,下梅林市场
22.52878133,114.0641981,22.52608083,114.0693158,22.531844,114.075855,第二高级技工学校
22.57276362,114.0611996,22.57004924,114.0663065,22.575733,114.072904,福田党校
22.6415215,114.0596735,22.6388182,114.0647858,22.644494,114.071351,黄金山公园